word	US/GenAM    UK/RP
aerophyte	/ˈɛ.ɹoʊˌ.faɪt/	/ˈɛː.ɹə(ʊ).fʌɪt/
aerophytes	/ˈɛ.ɹoʊˌ.faɪts/	/ˈɛː.ɹə(ʊ).fʌɪts/
Æsir	/ˈeɪ(ˌ)sɪɹ/	/ˈʌɪsɪə/
affair	/əˈfɛə(ɹ)/	/əˈfɛə/
affair	/əˈfɛɹ/	/əˈfɛə/
affairs	/əˈfɛɹz/	/əˈfɛəz/
affectation	/ˌæf.ɛkˈteɪ.ʃən/	/ˌæf.ɛkˈteɪ.ʃən/
affirmative	/əˈfɝmətɪv/	/əˈfɜːmətɪv/
afflatus	/əˈfleɪtəs/	/əˈfleɪtəs/
affluenza	/ˌæfluˈɛnzə/	/ˌæfluːˈɛnzə/
affluenzic	/æ.fluˈɛn.zɪk/	/æ.fluˈɛn.zɪk/
afforded	/əˈfɔɹdɪd/	/əˈfɔːdɪd/
afford	/əˈfɔɹd/	/əˈfɔːd/
afore	/əˈfɔɹ/	/əˈfɔː/
aforementioned	/əˈfɔɹˌmɛn.ʃənd/	/əˈfɔːˌmɛn.ʃənd/
Africa	/ˈæ.fɹɪ.kə/	/ˈæ.fɹɪ.kə/
aftermath	/ˈæf.tɚˌmæθ/	/ˈɑːf.təˌmɑːθ/
afternoon	/ˌæf.tɚ.ˈnun/	/ˌɑːf.tə.ˈnuːn/
after-party	/ˈæftɚˌpɑɹti/	/ˈɑːftəpɑːti/
after't	/ˈæftɚt/	/ˈɑːftət/
afterward	/ˈæf.tɚ.wɚd/	/ˈɑːftə.wəd/
afterwards	/ˈæf.tɚ.wɚdz/	/ˈɑːftə.wədz/
ag	/æɡ/	/æɡ/
ageful	/ˈeɪd͡ʒfʊl/	/ˈeɪd͡ʒfʊl/
aggiornamento	/əˌdʒɔɹnəˈmɛntəʊ/	/əˌdʒɔːnəˈmɛntəʊ/
aggro	/ˈæɡ.ɹoʊ/	/ˈæɡ.ɹəʊ/
agitate	/ˈæ.dʒɪ.teɪt/	/ˈæ.dʒɪ.teɪt/
agnostic	/æɡˈnɑːstɪk/	/æɡˈnɒstɪk/
agnosticism	/æɡˈnɑstɪsɪzəm/	/æɡˈnɒstɪsɪzəm/
ago	/əˈɡoʊ/	/əˈɡəʊ/
agon	/ˈæ.ɡoʊn/	/ˈæ.ɡəʊn/
agonic	/ˈæɡənik/	/ˈæɡənik/
agonic	/ˈæɡənik/	/əˈɡɒnɪk/
agonic	/əˈɡɑnik/	/ˈæɡənik/
agonic	/əˈɡɑnik/	/əˈɡɒnɪk/
agricultural	/ˌæɡɹɪˈkəlt͡ʃəɹəl/	/ˌæɡɹɪˈkəltjʊəɹəl/
agrimony	/ˈæɡ.ɹɪˌmoʊ.ni/	/ˈæɡ.ɹɪ.mən.i/
agrology	/əˈɡɹɑlədʒi/	/əˈɡɹɒlədʒi/
ahorse	/əˈhɔɹs/	/əˈhɔːs/
aids	/eɪdz/	/eɪdz/
ailurophilia	/aɪˌlʊɹəˈfɪli.ə/	/ˌaɪljʊəɹəˈfɪlɪ.ə/
ailurophiliac	/aɪˌlʊɹəˈfɪliæk/	/ˌaɪljʊəɹəˈfɪlɪ.æk/
ailurophobe	/aɪˈlʊɹəˌfoʊb/	/aɪˈljʊəɹəˌfəʊb/
ailurophobia	/aɪˌlʊɹəˈfoʊbi.ə/	/ˌaɪljʊəɹəˈfəʊbɪ.ə/
a- -ing	/ə- -ɪŋ/	/ə- -ɪŋ/
Ainsworth	/ˈeɪnz.wɝθ/	/ˈeɪnz.wɜːθ/
aioli	/(ˌ)aɪˈoʊli/	/aɪˈəʊlɪ/
Airbus	/ˈɛəɹ.bʌs/	/ˈɛə.bʌs/
air	/ˈɛəɹ/	/ˈɛə/
air hose	/ˈɛɹhoʊz/	/ˈɛəhəʊz/
airplane	/ˈɛəɹˌpleɪ̯n/	/ˈɛəpleɪn/
airport	/ˈɛɹ.pɔɹt/	/ˈɛə.pɔːt/
airports	/ˈɛɹ.pɔɹts/	/ˈɛə.pɔːts/
airy	/ˈɛəɹ.i/	/ˈɛəɹ.i/
Akkad	/ˈæˌkæd/	/ˈæˌkæd/
Akkad	/ˈɑˌkɑd/	/ˈæˌkæd/
à la carte	/ˌɑ.ləˈkɑɹt/	/ˌæ.ləˈkɑːt/
alarmed	/əˈlɑɹmd/	/əˈlɑːmd/
alarm	/əˈlɑɹm/	/əˈlɑːm/
Alastair	/ˈæl.ə.stɚ/	/ˈæl.ə.stə/
albatross	/ˈæl.bəˌtɹɔs/	/ˈæl.bəˌtɹɒs/
albino	/ælˈbaɪnoʊ/	/ælˈbiːnəʊ/
alcoholic	/ˌælkəˈhɑlɪk/	/ˌælkəˈhɒlɪk/
alcoholic	/ˌælkəˈhɔlɪk/	/ˌælkəˈhɒlɪk/
Aleister	/ˈæl.i.stɚ/	/ˈæl.i.stə/
alert	/əˈlɝt/	/əˈlɜːt/
aleurometer	/ˌæljəˈɹɑmɪtɚ/	/ˌæljʊˈɹɒmɪtə(ɹ)/
Alex	/ˈæ.lɪks/	/ˈæ.lɪks/
alexander	/ˌælɨɡˈzændɚ/	/ˌælɨɡˈzɑːndə/
Alexander	/ˌæ.lɨɡˈzæn.dɚ/	/ˌæ.lɨɡˈzɑːn.də/
alexanders	/ˌælɨɡˈzændɚz/	/ˌælɨɡˈzɑːndəz/
Alexanders	/ˌælɨɡˈzændɚz/	/ˌælɨɡˈzɑːndəz/
algorithm	/ˈælɡəˌɹɪðəm/	/ˈælɡəɹɪðəm/
alicorn	/ˈæ.lɪ.kɔɹn/	/ˈæ.lɪ.kɔːn/
alicorns	/ˈæ.lɪ.kɔɹnz/	/ˈæ.lɪ.kɔːnz/
Alistair	/ˈæl.i.stɚ/	/ˈæl.i.stə/
-ality	/-ˈælɪtɪ/	/-ˈælɪtɪ/
allele	/əˈ.liː.l/	/ˈæ.liː.l/
alligator	/ˈæl.ɪ.ɡeɪ.ɾɚ/	/ˈæ.lɪ.ɡeɪ.tə/
alligators	/ˈæl.ɪ.ɡeɪ.ɾɚz/	/ˈæ.lɪ.ɡeɪ.təz/
allot	/əˈlɑt/	/əˈlɒt/
alluring	/ɚˈluɚ.ɹɪŋ/	/ɚˈlʊɚ.ɹɪŋ/
almanac	ˈɔl.mə.næk	ˈɔːl.mə.næk
Almere	/ælˈmɛɹə/	/ælˈmɛəɹə/
almond	/ˈɑ.mənd/	/ˈɑː.mənd/
aloe	/ˈæ.loʊ/	/ˈæ.ləʊ/
aloes	/ˈæ.loʊz/	/ˈæ.ləʊz/
aloft	/əˈlɑft/	/əˈlɒft/
aloft	/əˈlɔft/	/əˈlɒft/
alone	/əˈloʊn/	/əˈləʊn/
alongside	/ə.lɔŋˈsaɪd/	/ə.lɒŋˈsaɪd/
a lot	/əˈlɑt/	/əˈlɒt/
alpenglow	/ˈæl.pən.ɡloʊ/	/ˈæl.pən.ɡləʊ/
already	/ɔlˈɹɛdi/	/ɔːlˈɹɛdi/
altar	/ˈɔl.tɚ/	/ˈɔːl.tə/
altered	/ˈɔl.tɚd/	/ˈɔːl.təd/
alternately	/ˈɔl.tɚ.nət.li/	ɔːlˈtɜɹnətlɪ
alter	/ˈɔl.tɚ/	/ˈɔːl.tə/
aluminium	/ˌæl.(j)uˈmɪn.i.əm/	/ˌæl.(j)ʊˈmɪn.i.əm/
alveolar	/æl.ˈvi.ə.lɚ/	/æl.ˈvɪə.lə/
amah	/ˈɑː.mə/	/ˈɑː.mə/
amahs	/ˈɑː.məz/	/ˈɑː.məz/
ama	/ˈɑː.mə/	/ˈɑː.mə/
amas	/ˈɑː.məz/	/ˈɑː.məz/
amass	/əˈmæs/	/əˈmæs/
amateur hour	/ˈæmətɚ ˈaʊɚ/	/ˈamətə ˈaʊə(ɹ)/
amazon	/ˈæ.məˌzɑ.ːn/	/ˈæ.mə.zən/
Amazon	/ˈæm.əˌzɑːn/	/ˈæm.ə.zən/
ambergris	/ˈæm.bɚ.ɡɹɪs/	/ˈæm.bə.ɡɹɪs/
ambivalent	/æmˈbɪv.ə.lənt/	/æmˈbɪv.ə.lənt/
ambler	/ˈæm.blɚ/	/ˈæm.blə/
amerce	/əˈmɝs/	/əˈmɜːs/
Amersfoort	/ˈɑməɹsfɔɹt/	/ˈɑːməsfɔːt/
amidst	/aˈmɪdst/	/aˈmɪdst/
amigurumi	/ɑmiˈɡuɹumi/	/ɑːmɪˈɡuːɹuːmɪ/
ammer	/ˈæ.mɚ/	/ˈæ.mə/
amnion	/ˈæm.nɪ.ɑːn/	/ˈæm.nɪ.ɒn/
amniotic	/æmniˈɑːtɪk/	/æmniˈɒtɪk/
amorce	/əˈmɔɹs/	/əˈmɔːs/
ample	/ˈæm.pəl/	/ˈæm.pəl/
Amsterdam	/ˈæmstəɹˌdæm/	/ˌæmstəˈdæm/
anachronism	/əˈnækɹənɪzm/	/əˈnækɹənɪzm/
analogous	/əˈnæl.ə.ɡəs/	/əˈnæl.ə.ɡəs/
analphabet	/ˌæˈnælfəbɛt/	/ænˈælfəbɛt/
anarchist	/ˈæn.ɑɹ.kɪst/	/ˈæn.ə.kɪst/
anarthrous	/æˈnɑɹθɹəs/	/æˈnɑːθɹəs/
ancestors	/ˈæn.sɛs.tɚz/	/ˈæn.sɛs.təz/
ancien régime	/ɑ̃.sjɛ̃ ɹeɪ.ˈʒim/	ʁeʒim
androgyny	/ænˈdɹɑdʒəni/	/ænˈdɹɒdʒəni/
Andromeda	/ænˈdɹɑːmɪdə/	/ænˈdɹɒmɪdə/
anecdata	/ˈænikdætə/	/ˈænɪkdeɪtə/
anemometer	/ænɪˈmɑːmətɚ/	/ænɪˈmɒmətə/
-aneous	/-ˈeɪ.nɪ.əs/	/-ˈeɪ.nɪ.əs/
anew	/əˈnu/	/əˈnjuː/
angle parking	/ˈæŋɡəl ˈpɑɹkɪŋ/	/ˈæŋɡəl ˈpɑːkɪŋ/
anglerfish	/ˈæŋɡlɚˌfɪʃ/	/ˈæŋɡləˌfɪʃ/
ang moh	/ˌaŋ ˈmoʊ/	/ˌaŋ ˈməʊ/
Angola	/æŋˈɡoʊlə/	/æŋˈɡəʊlə/
angstrom	/ˈæŋstɹəm/	/ˈæŋstɹəm/
angust	/æŋˈɡʌst/	/æŋˈɡʌst/
anhypostasia	/ænˌhaɪ.pəˈsteɪ.ʒi.ə/	/ænˌhaɪ.pəˈsteɪ.sɪ.ə/
anhypostasis	/ænˌhaɪ.pəˈsteɪ.sɪs/	/ænˌhaɪ.pəˈsteɪ.sɪs/
anile	/ˈæ.naɪl/	/ˈæn.aɪl/
animadversion	/ˌænɪmædˈvɝːʒən /	/ˌænɪmædˈvɜːʃən/
animadvert	/ˌænɪmədˈvɝt/	/ˌænɪmədˈvɜːt/
anime	/ˈæn.ɪ.meɪ/	/ˈæn.ɪ.meɪ/
animes	/ˈæ.nəˌmeɪz/	/ˈæ.nɪ.meɪz/
anion	/ˈæn.aɪ.ɑn/	/ˈæn.aɪ.ɒn/
anions	/ˈæn.aɪ.ɑnz/	/ˈæn.aɪ.ɒnz/
ann	/æn/	/æn/
Ann	/æn/	/æn/
Anne	/æn/	/æn/
announcer	/əˈnaʊnsɚ/	/əˈnaʊnsə/
annular	/ˈænjəlɚ/	/ˈænjələ/
anodyne	/ˈæn.ə.daɪn/	/ˈæn.ə.daɪn/
anomaloscope	/əˈnɑməloʊskoʊp/	/əˈnɒmələʊskəʊp/
anonymity	/ænəˈnɪmɪti/	/ænəˈnɪmɪti/
answer	/ˈæn.sɚ/	/ˈɑːn.sə/
answering	/ˈæn.sə.ɹɪŋ/	/ˈɑːn.sə.ɹɪŋ/
answers	/ˈæn.sɚz/	/ˈɑːn.səz/
ant	/ænt/	/ænt/
Antarctic	/ænˈtɑɹ(k)tɪk/	/ænˈtɑː(k)tɪk/
anteater	/ˈæntˌitɚ/	/ˈæntˌiːtə/
antevolate	/ænˈtɛvɑˌleɪt/	/ænˈtɪvɒleɪt/
anthologies	/ænˈθɑlədʒiz/	/ænˈθɒlədʒiz/
Anthropocene	/ˈænθɹəpəˌsin/	/ˈænθɹəpəˌsiːn/
anthropology	/ˌænθɹəˈpɑːlədʒi/	/ˌænθɹəˈpɒlədʒi/
anthroposophic	/ˌæŋθɹəˈpɑsəfɪk/	/ˌæŋθɹəˈpɒsəfɪk/
anthroposophist	/ˌæŋθɹəˈpɑsəfɪst/	/ˌæŋθɹəˈpɒsəfɪst/
anthroposophy	/ˌænθɹəˈpɑsəfi/	/ˌænθɹəˈpɒsəfi/
antimacassar	/ˌæn.tɪ.məˈkæs.ɚ/	/ˌæn.tɪ.məˈkæs.ə/
Antipas	/ˈæntəpəs/	/ˈæntɪpæs/
Antipas	/ˈæntɪpæs/	/ˈæntɪpæs/
antipredestinarian	/ˌæntipɹidɛstɪˈnɛɹiən/	/ˌæntɪpɹiːdɛstɪˈnɛəɹɪən/
anti-Semitic	/ˌæntiːsəˈmɪtɪk/	/ˌæntiːsəˈmɪtɪk/
antler	/ˈænt.lɚ/	/ˈænt.lə/
anuran	/əˈn(j)ʊɹən/	/əˈnjʊəɹ(ə)n/
any	/ˈɛni/	/ˈɛnɪ/
anything	/ˈɛn.i.θɪŋ/	/ˈɛ.nɪ.θɪŋ/
anywhere	/ˈɛn.i.hwɛɹ/	/ˈɛnɪwɛə/
aorta	/eɪˈɔːɹtə/	/eɪˈɔːtə/
Aotearoa New Zealand	/ˌɑ.oʊtiəˌɹoʊ.ə nu ˈzilənd/	/ˌɑːəʊtiːəˌɹəʊ.ə nju ˈziːlənd/
Aotearoa	/ˌɑ.oʊtiəˈɹoʊ.ə/	/ˌɑːəʊtiːəˈɹəʊ.ə/
apace	/əˈpeɪs/	/əˈpeɪs/
apart	/əˈpɑɹt/	/əˈpɑː(ɹ)t/
apartheid	/əˈpɑɹ.taɪd/	/əˈpɑːtheɪt/
apartheid	/əˈpɑɹthaɪt/	/əˈpɑːtheɪt/
apartheid	/əˈpɑɹtheɪt/	/əˈpɑːtheɪt/
apartment	/əˈpɑɹt.mənt/	/əˈpɑːt.mənt/
apathetic	/æp.əˈθɛt.ɪk/	/æp.əˈθɛt.ɪk/
aperture	/ˈæp.ɚ.tʃɚ/	/ˈæp.ə.tʃə(ɹ)/
apheresis	/ˌæfəˈɹisɪs/	/əˈfɪəɹɪsɪs/
apheresis	/əˈfɛɹəsɪs/	/əˈfɪəɹɪsɪs/
aphid	/ˈeɪ.fɪd/	/ˈeɪ.fɪd/
apiary	/ˈeɪ.pi.ɛɹ.i/	/ˈeɪ.pi.ə.ɹi/
apocopation	/əˌpɑkəˈpeɪʃən/	/əˌpɒkəˈpeɪʃən/
apocryphal	/əˈpɑːkɹɪfəl/	/əˈpɒkɹɪfəl/
apologize	/əˈpɑləd͡ʒaɪz/	/əˈpɒləd͡ʒaɪz/
apostle	/əˈpɑsl̩/	/əˈpɒs(ə)l/
apostolic	/ˌæpəˈstɑːlɪk/	/ˌæpəˈstɒlɪk/
apostrophe	/əˈpɑːs.tɹə.fi/	/əˈpɒs.tɹə.fi/
appearance	/əˈpɪɹəns/	/əˈpɪəɹəns/
appeared	/əˈpɪɹd/	/əˈpɪəd/
appear	/əˈpɪɹ/	/əˈpɪə/
appears	/əˈpɪɹz/	/əˈpɪəz/
appel	/əˈpɛl/	/əˈpɛl/
apperception	/ˌæpɚˈsɛpʃən/	/ˌæpəˈsɛpʃən/
apple of discord	/ˈæp(ə)l əv ˈdɪskɔɹd/	/ˈæp(ə)l əv ˈdɪskɔːd/
apple of Sodom	/ˈæp(ə)l əv ˈsɑdəm/	/ˈæp(ə)l əv ˈsɒdəm/
application	/ˌæpləˈkeɪʃən/	/ˌæplɪˈkeɪʃən/
appointment	/əˈpɔɪnt.mɛnt/	/əˈpɔɪnt.mɛnt/
appointment	/əˈpɔɪnt.mɪnt/	/əˈpɔɪnt.mɛnt/
apport	/əˈpɔɹt/	/əˈpɔːt/
apportion	/əˈpɔɹʃən/	/əˈpɔːʃən/
approached	/əˈpɹoʊtʃt/	/əˈpɹəʊtʃt/
approach	/əˈpɹoʊt͡ʃ/	/əˈpɹəʊt͡ʃ/
approaching	/əˈpɹoʊtʃɪŋ/	/əˈpɹəʊtʃɪŋ/
appropriate	/əˈpɹoʊ.pɹi.eɪt/	/əˈpɹəʊ.pɹiː.eɪt/
appropriate	/əˈpɹoʊ.pɹi.eɪt/	/əˈpɹəʊ.pɹiː.ɪt/
appropriate	/əˈpɹoʊ.pɹi.ɪt/	/əˈpɹəʊ.pɹiː.eɪt/
appropriate	/əˈpɹoʊ.pɹi.ɪt/	/əˈpɹəʊ.pɹiː.ɪt/
approve	/əˈpɹuːv/	/əˈpɹuːv/
approximate	/ə.ˈpɹɑk.sə.meɪt/	/ə.ˈpɹɒk.sɪ.meɪt/
approximate	/ə.ˈpɹɑk.sə.meɪt/	/ə.ˈpɹɒk.sɪ.mət/
approximate	/ə.ˈpɹɑk.sə.mət/	/ə.ˈpɹɒk.sɪ.meɪt/
approximate	/ə.ˈpɹɑk.sə.mət/	/ə.ˈpɹɒk.sɪ.mət/
approximately	/əˈpɹɑk.sɪ.mət.li/	/əˈpɹɒk.sɪ.mət.li/
apricate	/ˈæpɹikeɪt/	/ˈæpɹɪkeɪt/
aprication	/æpɹiˈkeɪʃən/	/æpɹɪˈkeɪʃən/
apter	/ˈæptɚ/	/ˈæptə/
aquaponics	/ˌɑkwəˈpɑnɪks/	/(ˌ)ækwəˈpɒnɪks/
aquatic	/əˈkwɑ.tɪk/	/əˈkwɒ.tɪk/
Arabic	/ˈæɹəbɪk/	/ˈæɹəbɪk/
arbitrary	/ˈɑɹ.bɪ.tɹɛ(ə).ɹi/	/ˈɑː.bɪ.tɹə.ɹi/
arborescent	/ɑːɹbəˈɹɛsənt/	/ɑːbəˈɹɛsənt/
arboriculture	/ɑːɹˈbɔːɹ.ɨˌkʌl.t͡ʃɚ/	/ɑːˈbɒɹ.ɪˌkʌlt͡ʃə/
arborio	/ɑɹˈbɔɹi.oʊ/	/ɑːˈbɔːɹɪ.əʊ/
arcade	/ɑɹˈkeɪd/	/ɑːˈkeɪd/
archchancellor	/ˈɑɹtʃˈtʃænsəlɚ/	/ˈɑːtʃˈtʃɑːnsələ/
archetype	/ˈɑɹkɪtaɪp/	/ˈɑːkɪtaɪp/
Archie	/ˈɑɹki/	/ˈɑːki/
Archie	/ˈɑɹki/	/ˈɑːtʃi/
Archie	/ˈɑɹtʃi/	/ˈɑːki/
Archie	/ˈɑɹtʃi/	/ˈɑːtʃi/
archipelago	/ˌɑɹkəˈpɛləˌɡoʊ/	/ɑːkɪˈpɛləɡəʊ/
architectress	/ˈɑɹkɪˌtɛktɹəs/	/ˈɑːkɪˌtɛktɹəs/
architecture	/ˈɑɹkɪtɛktʃɚ/	/ˈɑː.kɪ.ˌtɛk.tʃɚ/
architranseme	/ˌɑːɹkɪˈtɹænziːm/	/ˌɑːkɪˈtɹænziːm/
archive	/ˈɑːkaɪv/	/ˈɑːkaɪv/
ard	/ɑɹd/	/ɑːd/
ardent	/ˈɑɹdənt/	/ˈɑːdənt/
ardor	/ˈɑːɹdəɹ/	/ˈɑːdə/
arduous	/ˈɑːɹd͡ʒuəs/	/ˈɑːdjuːəs/
area	/ˈæɹ.i.ə/	/ˈɛə̯ɹɪə̯/
are	/ɛəɹ/	/ɛə/
are	/ɛəɹ/	/ə(ɹ)/
are	/ɛəɹ/	/ɑː(ɹ)/
are	/ɚ/	/ɛə/
are	/ɚ/	/ə(ɹ)/
are	/ɚ/	/ɑː(ɹ)/
are	/ɑɹ/	/ɛə/
are	/ɑɹ/	/ə(ɹ)/
are	/ɑɹ/	/ɑː(ɹ)/
areola	/əˈɹi.ə.lə/	/əˈɹi.ə.lə/
argent	/ˈɑɹdʒənt/	/ˈɑːdʒənt/
arguable	/ˈɑɹɡjuəbl/	/ˈɑːɡjuəbl/
argument	/ˈɑɹɡjumənt/	/ˈɑːɡjʊmənt/
arguments	/ˈɑɹɡjəmənts/	/ˈɑːɡjʊmənts/
argy-bargy	/ˈɑɹdʒiˌbɑɹdʒi/	/ˈɑːdʒiˌbɑːdʒi/
Aries	/ˈɛɹiz/	/ˈɛəɹiːz/
ariose	/ˈɑɹiˌoʊs/	/ˈɒɹiːəʊs/
ar	/ɑɹ/	/ɑː/
aristocracy	/ˌɛɹ.ɪˈstɑk.ɹə.si/	/ˌæ.ɹɪˈstɒk.ɹə.si/
Aristophanes	/ɛɹɪsˈtɑfəniz/	/æɹɪsˈtɒfəniːz/
Arizona	/ˌæɹɪˈzoʊnə/	/ˌæɹɪˈzəʊnə/
ark at ee	/ˈɑː(ɹ)k æt ˌiː/	/ˈɑː(ɹ)k æt ˌiː/
armada	/ɑːɹˈmɑːdə/	/ɑːˈmɑːdə/
armadillo	/ɑɹməˈdɪloʊ/	/ɑːməˈdɪləʊ/
Armagh	/ɑɹˈmɑː/	/ɑːˈmɑː/
armatole	/ˈɑɹməˌtoʊl/	/ˈɑːmətəʊl/
Armenian	/ɑːɹˈmiːni.ən/	/ɑːˈmiːni.ən/
armies	/ˈɑɹ.miz/	/ˈɑː.miz/
armistice	/ˈɑɹmɪstɪs/	/ˈɑːmɪstɪs/
Armistice	/ˈɑɹmɪstɪs/	/ˈɑːmɪstɪs/
armshouse	/ˈɑɹmzhaʊs/	/ˈɑːmzhaʊs/
arms	/ɑɹmz/	/ɑːmz/
army	/ˈɑɹ.mi/	/ˈɑː.miː/
aroma	/əˈɹoʊmə/	/əˈɹəʊmə/
arquebus	/ˈɑɹ.kwɨ.bəs/	/ˈɑː.kwɨ.bəs/
arrow	/ˈæɹ.oʊ/	/ˈæɹ.əʊ/
arrowroot	/ˈæɹoʊˌɹut/	/ˈæɹə(ʊ)ɹuːt/
arrows	/ˈɛɹ.oʊz/	/ˈæɹ.əʊz/
Arsaces	/ˈɑɹsəˌsiz/	/ˈɑːsəˌsiz/
arsecheek	/ɑɹstʃik/	/ɑːstʃik/
arse	/ɑɹs/	/ɑːs/
arson	/ˈɑɹsən/	/ˈɑːsən/
artery	/ˈɑɹ.təɹɪ/	/ˈɑː.tə.ɹi/
Arthur	/ˈɑɹθəɹ/	/ˈɑːθə(ɹ)/
articles	/ˈɑɹtɪkəlz/	/ˈɑːtɪkəlz/
article	/ˈɑɹtɪkəl/	/ˈɑːtɪkəl/
artifact	ˈɑɹɾɪfækt	/ˈɑːtɪfækt/
artillery	/ɑɹˈtɪləɹi/	/ɑːˈtɪləɹi/
artisanal	/ˈäɹ-tə-za-nᵊl/	/ɑːˈtɪzən(ə)l/
artistic	/ɑɹˈtɪstɪk/	/ɑːˈtɪstɪk/
arts	/ɑɹts/	/ɑːts/
artwork	/ˈɑɹtˌwɝk/	/ˈɑːtˌwɜːk/
ascertainable	/ˌæsɚˈteɪnəbl̩/	/ˌæsəˈteɪnəbl̩/
asher	/ˈæʃɚ/	/ˈæʃə/
Ashoka	/əˈʃoʊkə/	/əˈʃəʊkə/
ashore	/əˈʃɔɹ/	/əˈʃɔː/
asinine	/ˈæs.ɪ.naɪn/	/ˈæs.ɪ.naɪn/
asked	/ˈæskt/	/ˈɑːskt/
asker	/ˈæsk.ɚ/	/ˈɑːsk.ə/
askers	/ˈæsk.ɚz/	/ˈɑːsk.əz/
asking	/ˈæskɪŋ/	/ˈɑːskɪŋ/
asks	/æsks/	/ɑːsks/
ASMRtist	/ˌeɪ.ɛs.ɛmˈɑɹ.tɪst/	/ˌeɪ.ɛs.ɛmˈɑː.tɪst/
asparagus	/əˈspɛɹ.ə.ɡəs/	/əˈspæɹ.ə.ɡəs/
aspartame	/ˈæspəɹteɪm/	/əˈspɑːteɪm/
aspartyl	/ə.ˈspɑɹt.(ə)l/	/ə.ˈspɑːt.(ə)l/
Asperger's syndrome	/ˈæspɝɡɚz ˈsɪndɹoʊm/	/ˈæspɜːɡəz ˈsɪndɹəʊm/
asperity	/əˈspɛɹɪɾi/	/əˈspɛɹɪti/
aspheterism	/æsˈfɛtəˌɹɪz(ə)m/	/æsˈfɛtəˌɹɪz(ə)m/
assassination	/əˌsæs.ɪ.ˈneɪ.ʃən/	/əˌsæs.ɪ.ˈneɪ.ʃən/
assert	/əˈsɜɹt/	/əˈsɜːt/
assertion	/əˈsɜɹʃən/	/əˈsɜːʃən/
asset	/ˈæsɛt/	/ˈæsɪt/
associated	/əˈsoʊʃieɪtɪd/	/əˈsəʊʃieɪtɪd/
association	/əˌsoʊʃiˈeɪʃən/	/əˌsəʊʃiˈeɪʃən/
assonance	/ˈæsənəns/	/ˈæsənəns/
assort	/əˈsɔɹt/	/əˈsɔːt/
assurance	/əˈʃʊɹəns/	/əˈʃʊəɹəns/
assured	/əˈʃʊɹd/	/əˈʃʊəd/
assure	/əˈʃʊɹ/	/əˈʃʊə/
Assyrogenous	/æsɪˈɹɑdʒɪnəs/	/æsɪˈɹɒdʒɪnəs/
astern	/əˈstɝn/	/əˈstɜːn/
asthenia	/æsˈθi.ni.ə/	/æsˈθiː.nɪə/
asthma	/ˈæzmə/	/ˈæsmə/
astronomer	/ə.ˈstɹɒ.nə.mɚ/	/ə.ˈstɹɒ.nə.mə/
astronomer	/ə.ˈstɹɑ.nə.mɚ/	/ə.ˈstɹɒ.nə.mə/
asunder	/əˈsʌndɚ/	/əˈsʌndə/
asunder	/əˈsʌndɚ/	/əˈsʌndə/
athlete	/ˈæθ.lit/	/ˈæθ.liːt/
at it	/ˈæt ɪt/	/ˈat ɪt/
at loggerheads	/æt ˈlɔɡɚˌhɛdz/	/æt ˈlɒɡəhɛdz/
atom	/ˈætəm/	/ˈatəm/
Atomic Age	/əˈtɑːmɪk ˌeɪd͡ʒ/	/əˈtɒmɪk ˌeɪd͡ʒ/
atomic	/əˈtɑː.mɪk/	/əˈtɒm.ɪk/
atompunk	/ˈætəmpʌŋk/	/ˈætəmpʌŋk/
atoms	/ˈætəmz/	/ˈatəmz/
atonal	/eɪˈtoʊnəl/	/eɪˈtəʊnəl/
at one blast	/ət wʌn ˈblæst/	/ət wʌn ˈblɑːst/
atrocious	/əˈtɹoʊʃəs/	/əˈtɹəʊʃəs/
attaché	/ˌætæˈʃeɪ/	/əˈtæʃeɪ/
attend	/əˈtɛnd/	/əˈtɛnd/
Attic salt	/ˈætɪk sɑlt/	/ˈatɪk sɔːlt/
attraction	/əˈtɹækʃən/	/əˈtɹækʃən/
aubergine	/ˈoʊ.bɚ.ʒin/	/ˈəʊ.bə.ʒiːn/
audiation	/ˌɔdiˈeɪʃən/	/ɔːdɪˈeɪʃən/
audient	/ˈɔː.dɪ.ənt/	/ˈɔː.dɪ.ənt/
audio	/ˈɔ.di.oʊ/	/ˈɔː.di.əʊ/
auditorium	/ˌɔ.dəˈtɔ.ɹi.əm/	/ɔː.dɪˈtɔː.ɹɪ.əm/
Augustan	/ɔˈɡʌstən/	/ɔːˈɡʌstən/
August	/ˈɔ.ɡəst/	/ˈɔː.ɡəst/
august	/ɔːˈɡʌst/	/ɔːˈɡʌst/
auld lang syne	/ˌɔl(d) læŋ ˈsaɪn/	/ˌɔːld læŋ ˈsaɪn/
aunt	/ænt/	/ɑ(ː)nt/
aunt	/eɪnt/	/ɑ(ː)nt/
auspice	/ˈɔspɪs/	/ˈɔːspɪs/
austenite	/ˈɔstɪnaɪt/	/ˈɒstɪnaɪt/
Austenite	/ˈɔstɪnaɪt/	/ˈɒstɪnaɪt/
Austen	/ˈɔstɪn/	/ˈɒstɪn/
austinite	/ˈɔstɪnaɪt/	/ˈɒstɪnaɪt/
Austinite	/ˈɔstɪnaɪt/	/ˈɒstɪnaɪt/
Austinites	/ˈɔstɪnaɪts/	/ˈɒstɪnaɪts/
Austin	/ˈɔstɪn/	/ˈɒstɪn/
